Number,Spokesperson,Spokesperson.Attitude,Country,Knowledge.SD,Age.Group,Gender,Employment,City.size1,FAC.SCFM,Message.Sharing,Suport.SD,Current.Practice.SD,Future.Practice.SD,Num.Measures.SD,Age,Education,Household.Size,Settlement.Size,Concern.Situation,Concern.Others,Others.SD,Movement,Infection.percent,Subjective.Health,Satisfaction.Government,PH.vs.Economy,Religiosity,Q6.Self.Isolation,Q6.Quarantine.Zones,Q6.Closing.Borders,Q6.Meeting.Friends,Q6.Physical.Distance,Q6.Closing.Businesses,Q6.Public.Transportation,Q6.Canceling.Events,Q6.No.Workplace,Q6.Self.Isolation1,Q6.Quarantine.Zones1,Q6.Closing.Borders1,Q6.Meeting.Friends1,Q6.Physical.Distance1,Q6.Closing.Businesses1,Q6.Public.Transportation1,Q6.Canceling.Events1,Q6.No.Workplace1
13,Hanks,Neutral,US,Yes,Young,Female,Unemployed,City,0.933,1,7,7,7,9,32,5,3,4,7,7,3,2,2,5,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
14,Hanks,Like,US,Yes,Young,Female,Employed,City,0.82,1,7,7,7,8,28,5,2,4,7,7,7,3,2,5,1,1,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
15,Hanks,Neutral,US,Yes,Mid-Age,Female,Unemployed,City,0.933,7,7,7,7,9,34,5,4,4,7,7,4,1,3,3,3,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
16,Hanks,Like,US,Yes,Young,Female,Unemployed,City,-0.243,7,5,5,7,9,24,2,4,4,5,7,1,1,3,5,7,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
17,Hanks,Like,US,Yes,Mid-Age,Female,Employed,City,0.933,1,7,7,7,9,50,6,5,4,7,7,4,6,2,5,5,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
18,Hanks,Like,US,Yes,Mid-Age,Male,Employed,City,0.319,7,7,6,6,9,33,5,5,4,7,7,5,3,3,4,1,3,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
19,Hanks,Neutral,US,Yes,Young,Female,Unemployed,City,-1.437,6,7,4,3,7,25,2,4,4,7,2,3,3,6,5,2,4,1,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1,0,1,1,1,1,0,1,1
20,Hanks,Like,US,Yes,Old,Female,Unemployed,City,0.205,7,7,6,6,8,56,4,1,4,7,7,4,1,6,4,1,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
21,Hanks,Like,US,Yes,Mid-Age,Male,Employed,City,0.82,5,7,7,7,8,39,4,2,4,6,7,4,4,1,4,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
22,Hanks,Neutral,US,Yes,Young,Male,Employed,City,-0.725,7,7,4,5,8,21,1,3,4,7,3,1,4,1,3,1,1,3,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,1,1
23,Hanks,Neutral,US,Yes,Young,Male,Unemployed,City,-1.412,4,3,6,5,6,30,1,6,4,6,6,3,3,4,4,5,2,5,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,1,0,1,0,0,1,1,1,1
24,Hanks,Like,US,Yes,Mid-Age,Female,Employed,City,0.933,4,7,7,7,9,40,3,3,4,5,5,4,1,1,5,4,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
25,Hanks,Like,US,Yes,Young,Male,Employed,City,-0.367,1,6,6,5,8,22,2,3,4,5,7,4,2,1,4,6,7,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,1,1
26,Hanks,Neutral,US,Yes,Young,Male,Unemployed,City,0.407,7,7,7,6,7,32,4,4,4,7,7,4,5,7,4,2,4,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1,0,1,0,1,1,1,1,1
27,Hanks,Like,US,Yes,Old,Female,Retired,City,0.933,7,7,7,7,9,63,2,2,4,6,7,5,1,9,2,2,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
28,Hanks,Like,US,Yes,Young,Female,Unemployed,City,0.933,7,7,7,7,9,31,5,2,4,7,7,1,1,1,4,5,5,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
29,Hanks,Like,US,Yes,Young,Female,Student,City,0.634,7,7,7,6,9,23,5,7,4,4,6,4,3,2,4,2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
30,Hanks,Like,US,Yes,Young,Female,Student,City,-2.296,5,4,4,4,4,20,2,5,4,4,5,3,6,2,5,4,4,3,No,Yes,Yes,No,No,Yes,No,Yes,No,0,1,1,0,0,1,0,1,0
31,Hanks,Like,US,Yes,Old,Female,Retired,City,-0.006,1,7,7,5,6,69,4,1,4,7,6,3,1,2,4,7,6,7,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,1,0,1,1,1,1,0,1,0
32,Hanks,Like,US,Yes,Young,Female,Student,City,0.82,5,7,7,7,8,21,5,4,4,7,6,2,1,5,4,1,1,6,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,1,1,1,1,1,1,0,1,1
33,Hanks,Neutral,US,Yes,Young,Male,Employed,City,0.433,7,6,7,7,7,24,5,2,4,7,7,3,2,3,3,1,1,4,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1,0,1,1,1,1,0,1,1
34,Hanks,NA,US,Yes,Old,Female,Employed,City,0.019,4,7,6,5,9,67,4,1,4,7,6,6,5,6,2,1,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
35,Hanks,Like,US,Yes,Young,Male,Employed,City,0.634,4,7,7,6,9,25,1,1,4,7,7,3,6,1,4,4,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
36,Hanks,Like,US,Yes,Mid-Age,Male,Employed,City,0.933,7,7,7,7,9,34,4,5,4,7,7,1,1,6,5,5,7,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
37,Hanks,Like,US,Yes,Young,Male,Employed,Metropolitan,0.634,2,7,7,6,9,32,6,4,5,7,6,4,6,3,5,1,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
38,Hanks,Like,US,Yes,Young,Male,Employed,Metropolitan,0.661,7,6,7,7,9,24,4,2,5,7,7,3,2,8,4,5,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
39,Hanks,Like,US,Yes,Young,Male,Student,Metropolitan,0.205,5,7,6,6,8,26,6,2,5,6,7,4,2,3,3,3,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
40,Hanks,Like,US,Yes,Old,Female,Retired,Metropolitan,0.933,7,7,7,7,9,56,5,2,5,6,7,5,1,1,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
41,Hanks,Like,US,Yes,Old,Male,Student,Metropolitan,0.706,2,7,7,7,7,58,3,1,5,7,7,4,1,2,4,1,1,1,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,1,1,0,1,1,0,1,1,1
42,Hanks,Like,US,Yes,Old,Female,Retired,Metropolitan,0.933,7,7,7,7,9,66,4,1,5,7,7,4,2,1,5,6,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
43,Hanks,Like,US,Yes,Young,Male,Employed,Metropolitan,0.251,1,7,7,7,3,32,6,1,5,3,3,4,4,2,5,3,3,6,Yes,No,No,No,Yes,No,No,Yes,No,1,0,0,0,1,0,0,1,0
44,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Metropolitan,0.933,7,7,7,7,9,38,2,3,5,7,7,1,1,4,5,3,3,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
45,Hanks,Like,US,Yes,Old,Female,Retired,Metropolitan,0.933,6,7,7,7,9,51,5,2,5,7,5,5,1,1,3,2,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
46,Hanks,NA,US,Yes,Young,Male,Employed,Metropolitan,-2.637,1,4,4,4,1,26,6,2,5,5,1,1,6,3,5,2,4,5,Yes,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,0
47,Hanks,Like,US,Yes,Mid-Age,Male,Self-employed,Metropolitan,-0.796,6,6,5,5,7,49,4,3,5,7,7,3,2,3,5,2,1,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,1,1,1,1,1,0
48,Hanks,Neutral,US,Yes,Mid-Age,Female,Employed,Metropolitan,-0.393,5,7,6,4,8,37,6,2,5,6,7,3,3,3,4,1,1,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
49,Hanks,Like,US,Yes,Mid-Age,Female,Student,Metropolitan,0.706,4,7,7,7,7,36,6,1,5,7,7,3,5,6,5,1,1,2,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0,1,1,1,1,1,1
51,Hanks,Neutral,US,Yes,Young,Female,Employed,Small Town,-1.724,2,5,4,5,4,28,3,3,2,5,5,5,4,4,4,5,4,2,Yes,No,Yes,No,No,No,Yes,Yes,No,1,0,1,0,0,0,1,1,0
52,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Small Town,-0.136,7,7,6,6,5,39,5,5,2,7,7,3,2,4,3,4,4,7,Yes,No,No,No,No,Yes,Yes,Yes,Yes,1,0,0,0,0,1,1,1,1
53,Hanks,Like,US,Yes,Mid-Age,Female,Self-employed,Small Town,0.933,7,7,7,7,9,38,2,6,2,7,7,3,1,6,3,2,4,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
54,Hanks,Like,US,Yes,Old,Male,Employed,Small Town,0.933,7,7,7,7,9,60,4,2,2,7,7,5,1,2,4,4,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
55,Hanks,Like,US,Yes,Young,Male,Employed,Small Town,-0.338,7,7,5,6,6,22,4,2,2,2,7,4,2,2,4,4,3,7,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,1,1,0,0,1,0,1,1,1
56,Hanks,Neutral,US,Yes,Mid-Age,Female,Employed,Small Town,0.138,7,7,7,7,2,49,2,2,2,5,7,3,3,2,5,7,5,3,Yes,No,No,No,Yes,No,No,No,No,1,0,0,0,1,0,0,0,0
57,Hanks,Like,US,Yes,Old,Female,Retired,Small Town,0.933,6,7,7,7,9,61,6,6,2,6,7,4,1,2,4,2,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
58,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Small Town,0.933,7,7,7,7,9,40,6,4,2,7,7,4,1,1,4,1,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
59,Hanks,Neutral,US,Yes,Old,Male,Retired,Small Town,0.046,1,6,6,6,9,70,6,1,2,2,5,6,6,1,5,6,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
60,Hanks,Neutral,US,Yes,Old,Female,Employed,Small Town,0.091,3,7,6,6,7,51,3,4,2,7,7,1,3,3,4,1,4,5,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1,1,0,0,1,1,1,1,1
61,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Small Town,0.82,7,7,7,7,8,37,2,6,2,7,7,4,1,3,4,4,3,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
62,Hanks,Like,US,Yes,Old,Female,Self-employed,Small Town,0.82,6,7,7,7,8,66,3,3.14,2,7,7,5,1,1,5,5,2,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
63,Hanks,Like,US,Yes,Old,Female,Self-employed,Small Town,0.52,5,7,7,6,8,75,2,2,2,3,7,5,1,1,5,7,7,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
64,Hanks,Neutral,US,Yes,Old,Female,Employed,Small Town,0.634,7,7,7,6,9,65,4,2,2,7,7,4,5,1,3,5,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
65,Hanks,Like,US,Yes,Young,Male,Unemployed,Small Town,0.618,7,7,6,7,9,22,2,2,2,6,7,3,1,2,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
66,Hanks,Like,US,Yes,Old,Female,Retired,Small Town,0.319,4,7,6,6,9,56,2,1,2,6,6,3,2,4,5,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
67,Hanks,Like,US,Yes,Young,Female,Employed,Small Town,0.319,5,7,6,6,9,23,4,3,2,5,5,4,3,1,3,2,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
68,Hanks,Dislike,US,Yes,Mid-Age,Female,Employed,Small Town,0.319,3,7,6,6,9,50,4,2,2,7,6,5,2,3,3,2,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
69,Hanks,Like,US,Yes,Old,Female,Employed,Small Town,0.634,5,7,7,6,9,60,1,7,2,3,7,4,1,1,4,2,6,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
70,Hanks,Like,US,Yes,Mid-Age,Female,Self-employed,Small Town,0.205,7,7,6,6,8,45,3,3,2,7,7,3,2,5,2,1,1,4,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
71,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Small Town,0.592,7,7,7,7,6,49,5,3.14,2,7,7,4,2,2,4,2,3,4,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,1,0,1,1,1,1,1,0,0
72,Hanks,NA,US,Yes,Old,Female,Employed,Small Town,0.82,7,7,7,7,8,60,2,3,2,7,7,2,1,1,2,2,2,6,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
73,Hanks,Like,US,Yes,Old,Female,Unemployed,Small Town,0.933,7,7,7,7,9,53,2,3,2,7,7,2,5,1,2,1,7,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
74,Hanks,Like,US,Yes,Old,Female,Unemployed,Small Town,0.933,7,7,7,7,9,60,6,2,2,7,7,4,7,2,3,5,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
75,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Small Town,0.618,7,7,6,7,9,37,5,2,2,7,7,1,5,4,4,1,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
76,Hanks,Neutral,US,Yes,Young,Female,Student,Small Town,0.277,1,7,6,7,6,19,4,4,2,7,6,3,1,1,4,7,7,5,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,1,0,1,1,1,1,0,0,1
77,Hanks,NA,US,Yes,Mid-Age,Female,Unemployed,Small Town,0.319,7,7,6,6,9,38,2,1,2,5,7,3,4,1,5,4,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
78,Hanks,Like,US,Yes,Old,Male,Unemployed,Small Town,-0.295,1,6,6,6,6,53,4,2,2,6,6,6,2,1,5,2,1,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,1,0,0,1,1,1,1,1,0
79,Hanks,Neutral,US,Yes,Mid-Age,Female,Retired,Small Town,0.933,1,7,7,7,9,40,6,4,2,7,7,1,1,2,3,1,2,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
80,Hanks,Like,US,Yes,Mid-Age,Male,Retired,Small Town,-1.683,5,5,4,4,7,47,3,2,2,6,7,4,7,1,3,4,4,4,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,1,1,1,1,0,1,1,1,0
81,Hanks,Like,US,Yes,Mid-Age,Female,Unemployed,Town,0.52,7,7,7,6,8,35,3,7,3,6,6,4,1,2,5,7,6,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
82,Hanks,NA,US,Yes,Young,Female,Unemployed,Town,-0.013,2,7,4,7,9,20,2,15,3,7,7,4,1,1,2,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
83,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Town,0.933,5,7,7,7,9,38,6,7,3,7,7,1,1,6,4,1,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
84,Hanks,Neutral,US,Yes,Mid-Age,Female,Employed,Town,0.592,1,7,7,7,6,34,4,1,3,7,5,4,1,3,5,7,5,5,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,1,0,1,0,1,1,0,1,1
85,Hanks,NA,US,Yes,Old,Male,Retired,Town,0.661,6,6,7,7,9,63,5,2,3,6,6,3,3,1,4,3,3,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
86,Hanks,NA,US,Yes,Old,Female,Retired,Town,0.933,4,7,7,7,9,59,6,2,3,7,7,2,1,5,4,1,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
87,Hanks,Like,US,Yes,Young,Female,Student,Town,-0.452,1,4,7,7,4,22,5,3,3,7,7,5,1,1,1,2,6,3,No,No,Yes,No,No,Yes,No,Yes,Yes,0,0,1,0,0,1,0,1,1
88,Hanks,Like,US,Yes,Young,Female,Employed,Town,0.391,4,7,6,7,7,18,3,5,3,4,4,3,2,1,5,3,4,7,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,1,1,0,0,1,1,1,1,1
89,Hanks,Like,US,Yes,Young,Female,Employed,Town,-0.697,2,5,5,7,5,26,4,3.14,3,7,7,3,1,1,2,3,1,1,Yes,No,No,Yes,No,Yes,No,Yes,Yes,1,0,0,1,0,1,0,1,1
90,Hanks,NA,US,Yes,Young,Female,Employed,Town,-0.022,2,7,6,6,6,19,3,4,3,5,5,3,1,1,4,6,1,7,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,1,1,0,1,1,1,0,1,0
91,Hanks,Like,US,Yes,Mid-Age,Male,Employed,Town,-1.435,5,5,6,5,1,44,3,3,3,5,6,5,2,1,3,3,3,4,No,No,No,No,Yes,No,No,No,No,0,0,0,0,1,0,0,0,0
92,Hanks,Like,US,Yes,Mid-Age,Female,Employed,Town,-0.269,4,6,5,6,9,46,6,3,3,6,4,3,1,1,3,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
93,Hanks,Like,US,Yes,Young,Female,Self-employed,Town,-0.11,4,7,5,6,8,27,2,2,3,7,7,3,3,2,2,5,6,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,1,1
94,Hanks,Neutral,US,Yes,Old,Male,Employed,Town,0.661,4,6,7,7,9,57,4,3.14,3,4,5,5,2,1,4,6,7,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
95,Hanks,NA,US,Yes,Old,Male,Self-employed,Town,-0.022,7,7,6,6,6,63,3,2,3,5,6,4,2,1,4,1,1,1,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,1,0,0,1,1,1,0,1,1
96,Hanks,Like,US,Yes,Old,Female,Self-employed,Town,-0.68,4,4,7,7,2,65,3,2,3,1,3,4,4,1,4,6,4,5,No,No,Yes,No,No,No,No,Yes,No,0,0,1,0,0,0,0,1,0
97,Hanks,Neutral,US,Yes,Young,Female,Unemployed,Town,-0.338,1,7,5,6,6,22,5,5,3,5,5,5,6,1,4,4,3,1,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,1,1,1,0,1,0,0,1,1
98,Hanks,Neutral,US,No,Mid-Age,Female,Unemployed,Town,0.618,7,7,6,7,9,37,3,5,3,7,7,5,1,3,5,3,6,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
99,Hanks,Neutral,US,Yes,Young,Female,Employed,Town,0.504,7,7,6,7,8,18,4,4,3,7,7,3,1,2,3,3,4,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
100,Hanks,Neutral,US,Yes,Old,Female,Retired,Town,0.82,4,7,7,7,8,68,4,2,3,7,7,5,7,4,4,5,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
101,Hanks,Like,US,Yes,Old,Female,Retired,Town,0.933,7,7,7,7,9,62,2,4,3,7,7,4,3,1,3,1,2,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
102,Hanks,Like,US,Yes,Old,Female,Retired,Town,0.52,2,7,7,6,8,56,2,1,3,6,6,5,4,4,3,6,7,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
103,Hanks,Like,US,Yes,Young,Female,Employed,Town,-0.295,4,6,6,6,6,30,2,2,3,7,6,3,1,5,3,5,2,3,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,1,0,1,0,1,1,1,1,0
104,Hanks,Like,US,Yes,Young,Female,Employed,Town,-0.022,4,7,6,6,6,30,3,5,3,4,7,3,1,1,4,4,4,4,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,1,0,1,0,1,1,1,1,0
105,Hanks,Like,US,Yes,Old,Male,Retired,Town,0.046,6,6,6,6,9,65,3,2,3,6,7,5,2,2,4,5,4,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
106,Hanks,Like,US,Yes,Young,Female,Employed,Town,0.82,4,7,7,7,8,30,2,7,3,5,7,4,5,3,5,4,3,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
107,Hanks,Neutral,US,Yes,Young,Female,Employed,Town,0.303,1,7,5,7,9,22,5,2,3,7,6,3,3,2,3,3,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
